iter	Passed	Remaining
824	6253	1326
825	6260	1318
826	6268	1311
827	6276	1303
828	6283	1296
829	6291	1288
830	6298	1280
831	6306	1273
832	6314	1265
833	6321	1258
834	6328	1250
835	6336	1242
836	6343	1235
837	6351	1227
838	6358	1220
839	6365	1212
840	6374	1205
841	6381	1197
842	6389	1189
843	6396	1182
844	6404	1174
845	6412	1167
846	6419	1159
847	6426	1151
848	6434	1144
849	6442	1136
850	6449	1129
851	6457	1121
852	6466	1114
853	6473	1106
854	6481	1099
855	6489	1091
856	6497	1084
857	6504	1076
858	6512	1068
859	6520	1061
860	6528	1054
861	6536	1046
862	6544	1038
863	6552	1031
864	6560	1023
865	6568	1016
866	6576	1008
867	6583	1001
868	6591	993
869	6599	986
870	6607	978
871	6614	970
872	6621	963
873	6629	955
874	6636	948
875	6644	940
876	6652	933
877	6660	925
878	6668	917
879	6675	910
880	6683	902
881	6691	895
882	6703	888
883	6711	880
884	6719	873
885	6726	865
886	6734	857
887	6742	850
888	6749	842
889	6757	835
890	6764	827
891	6771	819
892	6778	812
893	6786	804
894	6793	797
895	6801	789
896	6808	781
897	6816	774
898	6823	766
899	6830	758
900	6838	751
901	6844	743
902	6853	736
903	6860	728
904	6869	721
905	6876	713
906	6884	705
907	6891	698
908	6899	690
909	6907	683
910	6914	675
911	6921	667
912	6929	660
913	6937	652
914	6945	645
915	6953	637
916	6960	630
917	6968	622
918	6976	614
919	6983	607
920	6991	599
921	6999	592
922	7006	584
923	7014	576
924	7022	569
925	7029	561
926	7037	554
927	7045	546
928	7053	539
929	7061	531
930	7068	523
931	7076	516
932	7084	508
933	7091	501
934	7099	493
935	7106	485
936	7114	478
937	7121	470
938	7129	463
939	7135	455
940	7143	447
941	7150	440
942	7157	432
943	7165	425
944	7172	417
945	7180	409
946	7187	402
947	7194	394
948	7201	387
949	7209	379
950	7216	371
951	7223	364
952	7230	356
953	7237	348
954	7245	341
955	7252	333
956	7259	326
957	7266	318
958	7274	311
959	7281	303
960	7288	295
961	7295	288
962	7303	280
963	7310	273
964	7317	265
965	7324	257
966	7332	250
967	7340	242
968	7347	235
969	7355	227
970	7362	219
971	7369	212
972	7376	204
973	7383	197
974	7390	189
975	7397	181
976	7404	174
977	7411	166
978	7418	159
979	7425	151
980	7432	143
981	7439	136
982	7446	128
983	7454	121
984	7462	113
985	7469	106
986	7476	98
987	7483	90
988	7490	83
989	7497	75
990	7503	68
991	7510	60
992	7517	52
993	7525	45
994	7532	37
995	7539	30
996	7546	22
997	7554	15
998	7561	7
999	7568	0
